Date,Open,High,Low,Close,Adj Close,Volume
2022-11-02,95.839996,96.040001,92.190002,92.360001,91.691483,1609600
2022-11-03,91.879997,93.320000,91.139999,91.550003,90.887352,1064600
2022-11-04,95.580002,96.339996,92.860001,95.400002,94.709480,1396300
2022-11-07,95.930000,97.379997,94.910004,95.959999,95.265427,1031600
2022-11-08,96.239998,98.250000,95.540001,96.769997,96.069565,1322000
2022-11-09,95.459999,96.570000,91.570000,92.050003,91.383728,1392800
2022-11-10,95.000000,96.500000,93.400002,96.339996,95.642677,1577200
2022-11-11,100.000000,101.910004,96.279999,96.739998,96.039780,1940800
2022-11-14,96.269997,102.970001,95.379997,100.400002,99.673286,1591300
2022-11-15,100.839996,103.000000,99.650002,100.480003,99.752716,1843500
2022-11-16,98.669998,100.209999,97.800003,99.300003,98.581253,1032800
2022-11-17,96.709999,101.169998,96.139999,101.010002,100.278877,1285300
2022-11-18,100.919998,101.199997,98.379997,100.639999,99.911552,1051800
2022-11-21,100.339996,104.000000,99.769997,103.019997,102.274315,1868500
2022-11-22,103.949997,106.779999,103.290001,106.440002,105.669579,1789300
2022-11-23,105.220001,105.989998,103.480003,103.949997,103.197586,1360000
2022-11-25,103.860001,105.370003,103.360001,103.980003,103.227379,503200
2022-11-28,102.580002,104.779999,101.769997,102.879997,102.135338,1366400
2022-11-29,104.610001,105.199997,102.050003,102.639999,101.897072,1106900
2022-11-30,103.620003,104.029999,100.650002,103.930000,103.177734,2930100
2022-12-01,103.900002,105.459999,102.660004,105.129997,104.369049,1577200
2022-12-02,104.290001,109.629997,103.769997,109.550003,108.757057,2283300
2022-12-05,107.769997,109.440002,105.680000,106.739998,105.967400,2425800
2022-12-06,104.199997,108.940002,104.199997,108.269997,107.486320,2060900
2022-12-07,107.320000,110.349998,106.889999,107.599998,106.821175,1943300
2022-12-08,109.519997,110.739998,108.699997,110.040001,109.243515,2120900
2022-12-09,109.720001,111.190002,108.260002,108.410004,107.625313,1333700
2022-12-12,107.849998,109.940002,106.430000,109.760002,108.965538,1548600
2022-12-13,112.489998,113.120003,109.750000,110.379997,109.581047,1809300
2022-12-14,110.040001,110.129997,107.260002,108.660004,107.873505,1639500
2022-12-15,106.410004,106.440002,100.459999,101.919998,101.182281,2638400
2022-12-16,100.320000,103.620003,97.349998,101.019997,100.288803,5312300
2022-12-19,102.400002,104.370003,100.279999,101.540001,100.805038,1982800
2022-12-20,101.650002,105.370003,101.650002,103.199997,102.453018,2462800
2022-12-21,104.089996,107.910004,102.910004,104.820000,104.061295,38999600
2022-12-22,104.650002,104.760002,99.129997,102.849998,102.105553,2710300
2022-12-23,103.599998,104.099998,101.260002,102.589996,101.847427,1423500
2022-12-27,103.099998,104.139999,102.320000,102.900002,102.155197,1144700
2022-12-28,103.010002,103.209999,99.800003,99.889999,99.166977,1137600
2022-12-29,100.000000,100.400002,97.949997,98.410004,98.031364,1438300
2022-12-30,98.099998,98.330002,96.709999,97.699997,97.324089,1390400
